datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,is_green_day,is_red_day,is_GSD,is_RSD,is_GD,is_RD,day_type,day_count
2026-02-26 00:00:00,5202.4,5207.725,5191.695,5207.0,6048.0,5207.0,5207.0,5207.0,,,,,,,,5207.725,5191.695,False,True,False,False,False,True,RD,1
2026-02-26 00:15:00,5207.01,5207.095,5193.925,5203.0,7564.0,5206.200000000001,5206.578947368421,5206.843137254902,,,,,,,,5207.725,5191.695,False,True,False,False,False,True,RD,1
2026-02-26 00:30:00,5202.905,5206.54,5199.535,5204.175,8404.0,5205.795000000001,5206.325900277008,5206.738504421377,,,,,,,,5207.725,5191.695,False,True,False,False,False,True,RD,1
2026-02-26 00:45:00,5204.185,5208.445,5199.8,5205.07,13563.0,5205.6500000000015,5206.19370024785,5206.673072875441,,,,,,,,5208.445,5191.695,False,True,False,False,False,True,RD,1
2026-02-26 01:00:00,5205.085,5206.305,5195.49,5195.58,11172.0,5203.636000000001,5205.076468642813,5206.238050409738,,,,,,,,5208.445,5191.695,False,True,False,False,False,True,RD,1
2026-02-26 01:15:00,5195.615,5196.645,5182.865,5186.27,11810.0,5200.162800000001,5203.096840364622,5205.454989609357,,,,,,,,5208.445,5182.865,False,True,False,False,False,True,RD,1
2026-02-26 01:30:00,5186.43,5190.7,5176.455,5181.62,12183.0,5196.454240000001,5200.836120326241,5204.52028413448,,,,,,,,5208.445,5176.455,False,True,False,False,False,True,RD,1
2026-02-26 01:45:00,5181.72,5181.72,5144.905,5152.55,21842.0,5187.6733920000015,5195.753370818215,5202.482233776265,,,,,,,,5208.445,5144.905,False,True,False,False,False,True,RD,1
2026-02-26 02:00:00,5152.51,5165.845,5150.58,5162.08,8627.0,5182.554713600001,5192.208805468929,5200.897832451706,,,,,,,,5208.445,5144.905,False,True,False,False,False,True,RD,1
2026-02-26 02:15:00,5162.075,5173.67,5160.965,5169.34,6428.0,5179.911770880001,5189.801562787989,5199.6602703947765,,,,,,,,5208.445,5144.905,False,True,False,False,False,True,RD,1
2026-02-26 02:30:00,5169.38,5173.59,5166.87,5170.54,4495.0,5178.037416704002,5187.774029862938,5198.518299006746,,,,,,,,5208.445,5144.905,False,True,False,False,False,True,RD,1
2026-02-26 02:45:00,5170.52,5171.79,5162.84,5163.58,4742.0,5175.145933363202,5185.227289877365,5197.148169633932,,,,,,,,5208.445,5144.905,False,True,False,False,False,True,RD,1
