datetime,open,high,low,close,volume,EMA_9,EMA_18,EMA_50,SMA_50,PDH,PDL,PD_EQ,PWH,PWL,PW_EQ,WH,WL,GD,RD,GSD,RSD,inside_day,FBR,FBR_bull,FBR_bear,clean_BO,clean_BO_bull,clean_BO_bear
2026-03-04 00:00:00,5136.13,5149.055,5109.915,5112.47,20183.0,5112.47,5112.47,5112.47,,,,,,,,5149.055,5109.915,,,,,,,,,,,
2026-03-04 00:15:00,5112.38,5121.36,5102.03,5106.825,16329.0,5111.341,5111.875789473685,5112.248627450981,,,,,,,,5149.055,5102.03,,,,,,,,,,,
2026-03-04 00:30:00,5106.83,5119.23,5099.43,5119.12,23260.0,5112.8968,5112.6383379501385,5112.518093041139,,,,,,,,5149.055,5099.43,,,,,,,,,,,
2026-03-04 00:45:00,5119.135,5128.55,5107.19,5113.395,22060.0,5112.996440000001,5112.717986586967,5112.552481549329,,,,,,,,5149.055,5099.43,,,,,,,,,,,
2026-03-04 01:00:00,5113.385,5127.075,5112.24,5119.125,20531.0,5114.222152000001,5113.3924090514965,5112.810227370924,,,,,,,,5149.055,5099.43,,,,,,,,,,,
2026-03-04 01:15:00,5119.15,5130.67,5114.06,5122.82,18027.0,5115.941721600001,5114.384787046076,5113.202767474025,,,,,,,,5149.055,5099.43,,,,,,,,,,,
2026-03-04 01:30:00,5123.145,5126.49,5102.53,5111.71,13316.0,5115.095377280001,5114.10323051491,5113.144227573082,,,,,,,,5149.055,5099.43,,,,,,,,,,,
2026-03-04 01:45:00,5111.7,5113.44,5086.21,5097.52,25844.0,5111.580301824001,5112.357627302815,5112.531512766295,,,,,,,,5149.055,5086.21,,,,,,,,,,,
2026-03-04 02:00:00,5097.525,5110.66,5094.345,5098.97,4966.0,5109.058241459201,5110.948403376203,5111.999688736244,,,,,,,,5149.055,5086.21,,,,,,,,,,,
2026-03-04 02:15:00,5098.93,5101.43,5089.595,5089.64,3864.0,5105.174593167361,5108.705413547129,5111.122838197568,,,,,,,,5149.055,5086.21,,,,,,,,,,,
2026-03-04 02:30:00,5089.89,5096.68,5084.075,5091.905,3191.0,5102.520674533889,5106.936948963221,5110.3691974839385,,,,,,,,5149.055,5084.075,,,,,,,,,,,
2026-03-04 02:45:00,5091.9,5093.76,5083.45,5088.835,4984.0,5099.783539627111,5105.031480651303,5109.524719151234,,,,,,,,5149.055,5083.45,,,,,,,,,,,
2026-03-04 04:00:00,5106.335,5118.64,5105.37,5117.515,5468.0,5103.329831701689,5106.345535319587,5109.838063498245,,,,,,,,5149.055,5083.45,True,False,False,False,False,,,,,,
2026-03-04 04:15:00,5117.37,5128.5,5116.655,5126.445,11596.0,5107.9528653613515,5108.461268443842,5110.489315910078,,,,,,,,5149.055,5083.45,True,False,False,False,False,,,,,,
2026-03-04 04:30:00,5126.5,5128.96,5116.865,5125.755,7255.0,5111.513292289082,5110.281661239226,5111.087970188115,,,,,,,,5149.055,5083.45,True,False,False,False,False,,,,,,
2026-03-04 04:45:00,5125.76,5130.105,5120.195,5125.44,5510.0,5114.298633831266,5111.877275845623,5111.65079488662,,,,,,,,5149.055,5083.45,True,False,False,False,False,,,,,,
2026-03-04 05:00:00,5125.43,5126.43,5105.72,5116.105,12477.0,5114.659907065013,5112.322299440821,5111.825469596949,,,,,,,,5149.055,5083.45,True,False,False,False,False,,,,,,
