datetime,open,high,low,close,volume
2026-03-26 00:00:00,1.15664,1.15664,1.1559,1.15606,2502.0
2026-03-26 00:15:00,1.15606,1.1566,1.15604,1.15631,2093.0
2026-03-26 00:30:00,1.15631,1.15665,1.15615,1.15646,1742.0
2026-03-26 00:45:00,1.15646,1.15652,1.15618,1.15632,2123.0
2026-03-26 01:00:00,1.15632,1.15635,1.15593,1.15601,1036.0
2026-03-26 01:15:00,1.15601,1.15601,1.15571,1.15571,463.0
2026-03-26 01:30:00,1.15571,1.15595,1.1556,1.15585,668.0
2026-03-26 01:45:00,1.15585,1.15599,1.15562,1.15586,884.0
2026-03-26 02:00:00,1.15586,1.15606,1.15568,1.15603,159.0
2026-03-26 02:15:00,1.15603,1.15608,1.15601,1.15601,130.0
2026-03-26 02:30:00,1.15601,1.1561,1.156,1.15602,220.0
2026-03-26 02:45:00,1.15602,1.1561,1.15587,1.15593,345.0
2026-03-26 03:00:00,1.15593,1.15608,1.15578,1.15578,475.0
2026-03-26 03:15:00,1.15578,1.1558,1.1556,1.1558,287.0
2026-03-26 03:30:00,1.1558,1.15619,1.1558,1.15618,424.0
2026-03-26 03:45:00,1.15618,1.15624,1.15598,1.15602,364.0
2026-03-26 04:00:00,1.15602,1.15613,1.15595,1.1561,739.0
2026-03-26 04:15:00,1.1561,1.15616,1.15595,1.15615,398.0
2026-03-26 04:30:00,1.15615,1.15616,1.15588,1.15596,487.0
2026-03-26 04:45:00,1.15596,1.1562,1.1559,1.15613,582.0
2026-03-26 05:00:00,1.15613,1.15645,1.15608,1.15639,1722.0
2026-03-26 05:15:00,1.15639,1.15646,1.15602,1.15603,1296.0
2026-03-26 05:30:00,1.15603,1.15611,1.15546,1.15546,1090.0
2026-03-26 05:45:00,1.15546,1.15589,1.1554,1.15581,1640.0
2026-03-26 06:00:00,1.15581,1.15657,1.1558,1.15632,1631.0
2026-03-26 06:15:00,1.15632,1.15646,1.15607,1.15644,1064.0
2026-03-26 06:30:00,1.15644,1.15668,1.15637,1.15653,1169.0
2026-03-26 06:45:00,1.15653,1.15668,1.15629,1.15643,1106.0
2026-03-26 07:00:00,1.15643,1.15653,1.15622,1.15623,991.0
2026-03-26 07:15:00,1.15623,1.15656,1.15622,1.15629,883.0
2026-03-26 07:30:00,1.15629,1.1563,1.15547,1.15583,1282.0
2026-03-26 07:45:00,1.15583,1.15609,1.15578,1.15587,1106.0
2026-03-26 08:00:00,1.15587,1.15634,1.15577,1.15633,889.0
2026-03-26 08:15:00,1.15633,1.15679,1.15619,1.15673,959.0
2026-03-26 08:30:00,1.15673,1.15695,1.15673,1.15674,891.0
2026-03-26 08:45:00,1.15674,1.15686,1.15666,1.15685,666.0
2026-03-26 09:00:00,1.15685,1.15694,1.15673,1.15691,765.0
2026-03-26 09:15:00,1.15691,1.15708,1.1569,1.15708,578.0
2026-03-26 09:30:00,1.15708,1.15723,1.15696,1.15707,355.0
2026-03-26 09:45:00,1.15707,1.15717,1.15685,1.15693,814.0
2026-03-26 10:00:00,1.15693,1.15698,1.15682,1.15689,1076.0
2026-03-26 10:15:00,1.15689,1.15689,1.15614,1.15652,1012.0
2026-03-26 10:30:00,1.15652,1.15662,1.15627,1.15637,1395.0
2026-03-26 10:45:00,1.15637,1.15637,1.15577,1.15579,1631.0
2026-03-26 11:00:00,1.15579,1.15603,1.15544,1.15545,1754.0
2026-03-26 11:15:00,1.15545,1.15602,1.15532,1.15594,1728.0
2026-03-26 11:30:00,1.15594,1.15607,1.15519,1.15548,1219.0
2026-03-26 11:45:00,1.15548,1.1567,1.15548,1.15665,1619.0
2026-03-26 12:00:00,1.15665,1.15665,1.15545,1.15588,2309.0
2026-03-26 12:15:00,1.15588,1.15623,1.15547,1.15582,1997.0
2026-03-26 12:30:00,1.15582,1.15598,1.15527,1.15546,1811.0
2026-03-26 12:45:00,1.15546,1.15564,1.15506,1.15536,2024.0
2026-03-26 13:00:00,1.15536,1.15537,1.15473,1.15528,3026.0
2026-03-26 13:15:00,1.15528,1.15593,1.15527,1.15531,2200.0
2026-03-26 13:30:00,1.15531,1.15604,1.15521,1.15563,2465.0
2026-03-26 13:45:00,1.15563,1.1561,1.15563,1.15597,1865.0
2026-03-26 14:00:00,1.15597,1.15649,1.15568,1.15605,2718.0
2026-03-26 14:15:00,1.15605,1.15608,1.15526,1.15575,2112.0
2026-03-26 14:30:00,1.15575,1.15601,1.15532,1.15542,2678.0
2026-03-26 14:45:00,1.15542,1.15601,1.15536,1.15596,1917.0
2026-03-26 15:00:00,1.15596,1.1565,1.15562,1.15631,2503.0
2026-03-26 15:15:00,1.15631,1.15645,1.15611,1.15615,1803.0
2026-03-26 15:30:00,1.15615,1.15636,1.15584,1.15589,2214.0
2026-03-26 15:45:00,1.15589,1.15604,1.15547,1.15571,1836.0
2026-03-26 16:00:00,1.15571,1.15586,1.15511,1.15513,1736.0
2026-03-26 16:15:00,1.15513,1.15526,1.1543,1.15437,1448.0
2026-03-26 16:30:00,1.15437,1.15445,1.15321,1.15333,1919.0
2026-03-26 16:45:00,1.15333,1.15341,1.15233,1.15242,2563.0
2026-03-26 17:00:00,1.15242,1.15339,1.15224,1.15317,3276.0
2026-03-26 17:15:00,1.15317,1.15349,1.15301,1.15332,2360.0
2026-03-26 17:30:00,1.15332,1.1534,1.15268,1.15273,2685.0
2026-03-26 17:45:00,1.15273,1.15354,1.15273,1.1535,2672.0
2026-03-26 18:00:00,1.1535,1.1541,1.15349,1.154,3022.0
2026-03-26 18:15:00,1.154,1.15444,1.15395,1.15425,2477.0
2026-03-26 18:30:00,1.15425,1.15495,1.15372,1.15495,4148.0
2026-03-26 18:45:00,1.15495,1.15524,1.15361,1.15422,5800.0
2026-03-26 19:00:00,1.15422,1.15444,1.15368,1.15427,5171.0
2026-03-26 19:15:00,1.15427,1.15513,1.15398,1.15481,3838.0
2026-03-26 19:30:00,1.15481,1.15548,1.15412,1.15432,5466.0
2026-03-26 19:45:00,1.15432,1.15516,1.15408,1.15475,5217.0
2026-03-26 20:00:00,1.15475,1.15513,1.15441,1.15472,4573.0
2026-03-26 20:15:00,1.15472,1.15491,1.15428,1.15438,3505.0
2026-03-26 20:30:00,1.15438,1.15445,1.15312,1.15329,3740.0
2026-03-26 20:45:00,1.15329,1.15428,1.15326,1.15412,5347.0
2026-03-26 21:00:00,1.15412,1.1543,1.1537,1.15422,3023.0
2026-03-26 21:15:00,1.15422,1.15424,1.15308,1.15348,3210.0
2026-03-26 21:30:00,1.15348,1.15374,1.15314,1.1537,2608.0
2026-03-26 21:45:00,1.1537,1.15392,1.15354,1.15356,2317.0
2026-03-26 22:00:00,1.15356,1.15369,1.15324,1.15338,2374.0
2026-03-26 22:15:00,1.15338,1.15359,1.15311,1.15341,2125.0
2026-03-26 22:30:00,1.15341,1.15376,1.15272,1.15284,2776.0
2026-03-26 22:45:00,1.15284,1.15286,1.15255,1.15258,1825.0
2026-03-26 23:00:00,1.15258,1.15316,1.15251,1.15307,1846.0
2026-03-26 23:15:00,1.15307,1.1531,1.15268,1.15276,1600.0
2026-03-26 23:30:00,1.15276,1.1533,1.15275,1.15328,1288.0
2026-03-26 23:45:00,1.15328,1.15338,1.15313,1.15337,1283.0
2026-03-27 00:00:00,1.15337,1.15344,1.15235,1.15245,1808.0
2026-03-27 00:15:00,1.15245,1.15275,1.15227,1.15237,1411.0
2026-03-27 00:30:00,1.15237,1.15286,1.15229,1.15237,1518.0
2026-03-27 00:45:00,1.15237,1.15247,1.15216,1.15219,1964.0
2026-03-27 01:00:00,1.15219,1.15585,1.15194,1.15466,7302.0
2026-03-27 01:15:00,1.15466,1.15481,1.15301,1.15334,5773.0
2026-03-27 01:30:00,1.15334,1.15385,1.15326,1.15326,1997.0
2026-03-27 01:45:00,1.15326,1.15337,1.15255,1.15255,1811.0
2026-03-27 02:00:00,1.15255,1.1532,1.15238,1.15318,433.0
2026-03-27 02:15:00,1.15318,1.15322,1.15289,1.15299,963.0
2026-03-27 02:30:00,1.15299,1.15352,1.15296,1.15329,420.0
2026-03-27 02:45:00,1.15329,1.15345,1.15322,1.15327,172.0
2026-03-27 03:00:00,1.15327,1.15403,1.15309,1.15363,710.0
2026-03-27 03:15:00,1.15363,1.15385,1.1535,1.15357,466.0
2026-03-27 03:30:00,1.15357,1.15386,1.15356,1.15384,631.0
2026-03-27 03:45:00,1.15384,1.15395,1.15376,1.15381,492.0
2026-03-27 04:00:00,1.15381,1.15394,1.15371,1.15373,847.0
2026-03-27 04:15:00,1.15373,1.15387,1.15371,1.15378,500.0
2026-03-27 04:30:00,1.15378,1.15397,1.15355,1.15361,560.0
2026-03-27 04:45:00,1.15361,1.15367,1.15339,1.15344,534.0
2026-03-27 05:00:00,1.15344,1.15379,1.15323,1.15325,1475.0
2026-03-27 05:15:00,1.15325,1.15343,1.15243,1.15269,2736.0
2026-03-27 05:30:00,1.15269,1.15299,1.15262,1.15284,1671.0
2026-03-27 05:45:00,1.15284,1.15313,1.15243,1.15304,2544.0
2026-03-27 06:00:00,1.15304,1.15345,1.15296,1.15332,1872.0
2026-03-27 06:15:00,1.15332,1.15367,1.15324,1.15363,1425.0
2026-03-27 06:30:00,1.15363,1.15403,1.15361,1.15381,1296.0
2026-03-27 06:45:00,1.15381,1.15408,1.15362,1.15402,1481.0
2026-03-27 07:00:00,1.15402,1.15425,1.15376,1.15382,1184.0
2026-03-27 07:15:00,1.15382,1.15392,1.1536,1.1539,966.0
2026-03-27 07:30:00,1.1539,1.15412,1.1538,1.15405,881.0
2026-03-27 07:45:00,1.15405,1.15419,1.15381,1.15384,830.0
2026-03-27 08:00:00,1.15384,1.15402,1.1535,1.15359,1143.0
2026-03-27 08:15:00,1.15359,1.15361,1.15338,1.15351,794.0
2026-03-27 08:30:00,1.15351,1.15396,1.15351,1.15386,869.0
2026-03-27 08:45:00,1.15386,1.15391,1.1537,1.15389,973.0
2026-03-27 09:00:00,1.15389,1.15401,1.15369,1.15392,714.0
2026-03-27 09:15:00,1.15392,1.15407,1.15384,1.15395,839.0
2026-03-27 09:30:00,1.15395,1.15425,1.15389,1.15425,595.0
2026-03-27 09:45:00,1.15425,1.15437,1.15413,1.15427,711.0
2026-03-27 10:00:00,1.15427,1.15456,1.15413,1.15454,1182.0
2026-03-27 10:15:00,1.15454,1.15454,1.15401,1.15405,1188.0
2026-03-27 10:30:00,1.15405,1.15429,1.15371,1.15429,1379.0
2026-03-27 10:45:00,1.15429,1.1546,1.15401,1.1541,1074.0
2026-03-27 11:00:00,1.1541,1.15436,1.15388,1.15433,1401.0
2026-03-27 11:15:00,1.15433,1.15436,1.15379,1.15393,1153.0
2026-03-27 11:30:00,1.15393,1.15398,1.15358,1.15382,800.0
2026-03-27 11:45:00,1.15382,1.15382,1.15339,1.15343,1252.0
2026-03-27 12:00:00,1.15343,1.15348,1.15297,1.15308,1702.0
2026-03-27 12:15:00,1.15308,1.15312,1.15226,1.15232,1674.0
2026-03-27 12:30:00,1.15232,1.15248,1.15209,1.15213,2053.0
2026-03-27 12:45:00,1.15213,1.15262,1.15169,1.15188,1815.0
2026-03-27 13:00:00,1.15188,1.1522,1.15159,1.15203,2892.0
2026-03-27 13:15:00,1.15203,1.15226,1.15169,1.1522,2436.0
2026-03-27 13:30:00,1.1522,1.15252,1.15184,1.15233,2424.0
2026-03-27 13:45:00,1.15233,1.15241,1.15199,1.15205,1939.0
2026-03-27 14:00:00,1.15205,1.1522,1.15143,1.15184,2549.0
2026-03-27 14:15:00,1.15184,1.15241,1.15177,1.15225,2279.0
2026-03-27 14:30:00,1.15225,1.15261,1.15196,1.15213,2018.0
2026-03-27 14:45:00,1.15213,1.15214,1.15175,1.15191,1977.0
2026-03-27 15:00:00,1.15191,1.1524,1.15184,1.15203,2234.0
2026-03-27 15:15:00,1.15203,1.15259,1.15183,1.15252,1649.0
2026-03-27 15:30:00,1.15252,1.15255,1.15133,1.15143,2119.0
2026-03-27 15:45:00,1.15143,1.15165,1.15101,1.1511,1922.0
